step,actions_match,env_action,server_action,obs_match,max_obs_diff,values_match,env_value,server_value,value_diff,server_confidence,all_match
0,True,21,21,True,0.0,False,0.24969930946826935,0.2413996458053589,0.008299663662910461,0.16577653586864471,False
1,True,21,21,True,0.0,False,0.25244465470314026,0.24184513092041016,0.010599523782730103,0.15131676197052002,False
2,True,0,0,True,0.0,False,0.252614825963974,0.24302271008491516,0.009592115879058838,0.3883488178253174,False
3,True,0,0,True,0.0,False,0.2500060200691223,0.24299681186676025,0.0070092082023620605,0.3883816599845886,False
4,True,0,0,True,0.0,False,0.21911627054214478,0.24298392236232758,0.0238676518201828,0.38839802145957947,False
5,True,0,0,True,0.0,False,0.24223080277442932,0.2429758459329605,0.000745043158531189,0.3884083032608032,False
6,True,0,0,True,0.0,False,0.21273347735404968,0.24297013878822327,0.030236661434173584,0.38841569423675537,False
7,True,0,0,True,0.0,False,0.2534826397895813,0.24296419322490692,0.010518446564674377,0.3884231746196747,False
8,True,0,0,True,0.0,False,0.2500564455986023,0.2429608404636383,0.007095605134963989,0.38842761516571045,False
9,True,0,0,True,0.0,False,0.2429666817188263,0.2418820559978485,0.0010846257209777832,0.39054834842681885,False
10,True,0,0,True,0.0,False,0.25104159116744995,0.24232390522956848,0.00871768593788147,0.3958202600479126,False
11,True,0,0,True,0.0,False,0.25182902812957764,0.24232438206672668,0.009504646062850952,0.39582252502441406,False
12,True,0,0,True,0.0,False,0.2502046525478363,0.2423247992992401,0.007879853248596191,0.39582452178001404,False
13,True,0,0,True,0.0,False,0.2562791705131531,0.24232518672943115,0.013953983783721924,0.3958264887332916,False
14,True,0,0,True,0.0,False,0.24525603652000427,0.2423255443572998,0.0029304921627044678,0.3958282768726349,False
15,True,0,0,True,0.0,False,0.2144049108028412,0.24232566356658936,0.02792075276374817,0.39582908153533936,False
16,True,0,0,True,0.0,False,0.2505738139152527,0.24232599139213562,0.008247822523117065,0.3958307206630707,False
17,True,0,0,True,0.0,False,0.25599950551986694,0.2423262894153595,0.013673216104507446,0.3958323299884796,False
18,True,0,0,True,0.0,False,0.2503134608268738,0.24232658743858337,0.007986873388290405,0.3958338797092438,False
19,True,0,0,True,0.0,False,0.21536734700202942,0.24232687056064606,0.026959523558616638,0.39583536982536316,False
20,True,0,0,True,0.0,False,0.2513473629951477,0.24232712388038635,0.009020239114761353,0.39583685994148254,False
21,True,0,0,True,0.0,False,0.2507185935974121,0.2377830147743225,0.0129355788230896,0.41723424196243286,False
22,True,31,31,True,0.0,False,0.27531683444976807,0.25690585374832153,0.018410980701446533,0.4065321981906891,False
23,True,21,21,False,0.00045891033,False,0.2663732171058655,0.25937554240226746,0.0069976747035980225,0.17829419672489166,False
24,True,0,0,False,3.5013218,False,0.3764713406562805,0.24140721559524536,0.13506412506103516,0.38928577303886414,False
25,True,0,0,False,3.5013218,False,0.3923523426055908,0.24140861630439758,0.15094372630119324,0.3892865478992462,False
26,True,0,0,False,3.5013218,False,0.3991456627845764,0.24140891432762146,0.15773674845695496,0.3892870247364044,False
27,True,0,0,False,3.5013218,False,0.41808152198791504,0.2414097636938095,0.17667175829410553,0.3892872631549835,False
28,True,0,0,False,3.5013218,False,0.4018374979496002,0.24140964448451996,0.16042785346508026,0.3892876207828522,False
29,True,0,0,False,3.5013218,False,0.4087626039981842,0.2414112389087677,0.1673513650894165,0.3892877697944641,False
30,True,0,0,False,3.5013218,False,0.43332499265670776,0.24141106009483337,0.1919139325618744,0.38928812742233276,False
31,True,0,0,False,3.5013218,False,0.40809422731399536,0.24141080677509308,0.16668342053890228,0.38928845524787903,False
32,True,0,0,False,3.5013218,False,0.40716058015823364,0.241410493850708,0.16575008630752563,0.3892888128757477,False
33,True,0,0,False,3.5013218,False,0.5379489660263062,0.23839911818504333,0.2995498478412628,0.4141055941581726,False
34,False,0,31,False,3.5013218,False,0.4255709648132324,0.2583960294723511,0.16717493534088135,0.4059145152568817,False
35,False,0,31,False,3.5013218,False,0.4462664723396301,0.2583927512168884,0.1878737211227417,0.40590938925743103,False
36,False,0,31,False,3.5013218,False,0.4362213611602783,0.25838929414749146,0.17783206701278687,0.40590420365333557,False
37,False,0,31,False,3.5013218,False,0.4481653571128845,0.2583857774734497,0.18977957963943481,0.40589895844459534,False
38,False,0,31,False,3.5013218,False,0.4457854628562927,0.2583821713924408,0.18740329146385193,0.4058936536312103,False
39,False,0,31,False,3.5013218,False,0.44444170594215393,0.2583783268928528,0.18606337904930115,0.40588852763175964,False
40,False,0,31,False,3.5013218,False,0.440208375453949,0.2583746314048767,0.18183374404907227,0.40588316321372986,False
41,False,0,31,False,3.5013218,False,0.2964189052581787,0.25837093591690063,0.038047969341278076,0.4058777689933777,False
42,False,0,31,False,3.5013218,False,0.4371829032897949,0.2583672106266022,0.17881569266319275,0.40587231516838074,False
43,False,0,31,False,3.5013218,False,0.43441611528396606,0.2583634853363037,0.17605262994766235,0.40586698055267334,False
44,False,0,31,False,3.5013218,False,0.4455673396587372,0.2583597004413605,0.1872076392173767,0.4058614671230316,False
45,True,0,0,False,3.5013218,False,0.3917491137981415,0.2414686679840088,0.1502804458141327,0.38902029395103455,False
46,True,0,0,False,3.5013218,False,0.3840380012989044,0.24105915427207947,0.14297884702682495,0.38907870650291443,False
47,True,0,0,False,3.5013218,False,0.3855708837509155,0.24106281995773315,0.14450806379318237,0.3890637755393982,False
48,True,0,0,False,3.5013218,False,0.3796829581260681,0.24106279015541077,0.13862016797065735,0.38906392455101013,False
49,True,0,0,False,3.5013218,False,0.35364869236946106,0.24105902016162872,0.11258967220783234,0.38907912373542786,False
50,True,0,0,False,3.5013218,False,0.3813600540161133,0.24105897545814514,0.14030107855796814,0.3890792727470398,False
51,True,0,0,False,3.5013218,False,0.368038147687912,0.24106261134147644,0.12697553634643555,0.3890642821788788,False
52,True,0,0,False,3.5013218,False,0.3681875467300415,0.24106258153915405,0.12712496519088745,0.3890644609928131,False
53,True,0,0,False,3.5013218,False,0.38481152057647705,0.241058811545372,0.14375270903110504,0.38907966017723083,False
54,True,0,0,False,3.5013218,False,0.37482836842536926,0.24105875194072723,0.13376961648464203,0.3890797793865204,False
55,True,0,0,False,3.5013218,False,0.37249109148979187,0.24106241762638092,0.13142867386341095,0.38906484842300415,False
56,True,0,0,False,3.5013218,False,0.35592353343963623,0.24106235802173615,0.11486117541790009,0.3890649974346161,False
57,True,0,0,False,3.5013218,False,0.34778910875320435,0.24198013544082642,0.10580897331237793,0.3873317539691925,False
58,True,0,0,False,3.5013218,False,0.343436598777771,0.241428405046463,0.10200819373130798,0.3878057599067688,False
59,True,0,0,False,3.5013218,False,0.3260911703109741,0.2414286732673645,0.08466249704360962,0.38780608773231506,False
60,True,0,0,False,3.5013218,False,0.32122549414634705,0.2414289116859436,0.07979658246040344,0.38780638575553894,False
61,True,0,0,False,3.5013218,False,0.3262655436992645,0.2414291799068451,0.08483636379241943,0.3878067135810852,False
62,True,0,0,False,3.5013218,False,0.31092798709869385,0.24142944812774658,0.06949853897094727,0.3878069818019867,False
63,True,0,0,False,3.5013218,False,0.3327963948249817,0.24142955243587494,0.09136684238910675,0.38780713081359863,False
64,True,0,0,False,3.5013218,False,0.31737613677978516,0.24142980575561523,0.07594633102416992,0.3878071904182434,False
65,True,0,0,False,3.5013218,False,0.302478551864624,0.24143007397651672,0.0610484778881073,0.3878071904182434,False
66,True,0,0,False,3.5013218,False,0.33028554916381836,0.24143031239509583,0.08885523676872253,0.387807160615921,False
67,True,0,0,False,3.5013218,False,0.3185696005821228,0.24143058061599731,0.07713901996612549,0.38780713081359863,False
68,True,0,0,False,3.5013218,False,0.34694817662239075,0.2414308488368988,0.10551732778549194,0.38780710101127625,False
69,True,0,0,False,3.5013218,False,0.3404013514518738,0.2413773238658905,0.09902402758598328,0.3873627781867981,False
70,True,0,0,False,3.5013218,False,0.2800996005535126,0.24167095124721527,0.0384286493062973,0.38614341616630554,False
71,True,0,0,False,3.5013218,False,0.32377010583877563,0.24167104065418243,0.0820990651845932,0.3861439526081085,False
72,True,0,0,False,3.5013218,False,0.30024659633636475,0.2416711449623108,0.058575451374053955,0.38614439964294434,False
73,True,0,0,False,3.5013218,False,0.3382781445980072,0.24167121946811676,0.09660692512989044,0.3861449360847473,False
74,True,0,0,False,3.5013218,False,0.2955242693424225,0.2416713535785675,0.05385291576385498,0.3861454427242279,False
75,True,0,0,False,3.5013218,False,0.30690455436706543,0.2416713386774063,0.06523321568965912,0.386145681142807,False
76,True,0,0,False,3.5013218,False,0.3028745949268341,0.24167145788669586,0.061203137040138245,0.3861462473869324,False
77,True,0,0,False,3.5013218,False,0.29901257157325745,0.2416715919971466,0.05734097957611084,0.38614678382873535,False
78,True,0,0,False,3.5013218,False,0.3059195578098297,0.24167171120643616,0.06424784660339355,0.38614732027053833,False
79,True,0,0,False,3.5013218,False,0.3051282465457916,0.2416718453168869,0.06345640122890472,0.3861478567123413,False
80,True,0,0,False,3.5013218,False,0.3184509575366974,0.24167197942733765,0.07677897810935974,0.3861483931541443,False
81,True,0,0,False,3.5013218,False,0.2982988953590393,0.24159787595272064,0.056701019406318665,0.3871375620365143,False
82,True,0,0,False,3.5013218,False,0.26015323400497437,0.2417421042919159,0.01841112971305847,0.38672515749931335,False
83,True,0,0,False,3.5013218,False,0.27209100127220154,0.24174222350120544,0.030348777770996094,0.3867253363132477,False
84,True,0,0,False,3.5013218,False,0.2700865566730499,0.241742342710495,0.02834421396255493,0.3867255747318268,False
85,True,0,0,False,3.5013218,False,0.26970618963241577,0.24174247682094574,0.027963712811470032,0.38672569394111633,False
86,True,0,0,False,3.5013218,False,0.24008722603321075,0.24174261093139648,0.00165538489818573,0.38672590255737305,False
87,True,0,0,False,3.5013218,False,0.263233482837677,0.24174253642559052,0.021490946412086487,0.3867262005805969,False
88,True,0,0,False,3.5013218,False,0.2606460452079773,0.24174267053604126,0.018903374671936035,0.38672637939453125,False
89,True,0,0,False,3.5013218,False,0.2695918679237366,0.2417427897453308,0.02784907817840576,0.3867265582084656,False
90,True,0,0,False,3.5013218,False,0.27357861399650574,0.24174290895462036,0.031835705041885376,0.3867267668247223,False
91,True,0,0,False,3.5013218,False,0.26240915060043335,0.2417430281639099,0.020666122436523438,0.3867269456386566,False
92,True,0,0,False,3.5013218,False,0.26881909370422363,0.24174316227436066,0.027075931429862976,0.38672712445259094,False
93,True,0,0,False,3.5013218,False,0.26881277561187744,0.2417263388633728,0.02708643674850464,0.38812384009361267,False
94,True,0,0,False,3.5013218,False,0.26112276315689087,0.2417314648628235,0.019391298294067383,0.3883261978626251,False
95,True,0,0,False,3.5013218,False,0.25552254915237427,0.24173158407211304,0.01379096508026123,0.38832688331604004,False
96,True,0,0,False,3.5013218,False,0.2604239583015442,0.24173171818256378,0.018692240118980408,0.38832753896713257,False
97,True,0,0,False,3.5013218,False,0.25904321670532227,0.24173185229301453,0.01731136441230774,0.3883281946182251,False
98,True,0,0,False,3.5013218,False,0.25906938314437866,0.24173200130462646,0.017337381839752197,0.38832882046699524,False
99,True,0,0,False,3.5013218,False,0.2627350091934204,0.24173207581043243,0.021002933382987976,0.38832926750183105,False
